,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
52,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44452,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
53,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.8092590821906924,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44453,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
54,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,114.37878608703613,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44454,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
55,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44455,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
56,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.49396895430982113,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44456,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
57,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,4.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44457,DikeIncrease_1,dikesnet,216944342.16005948,380502892.142874,0
58,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,2.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44458,DikeIncrease_1,dikesnet,373020910.3305666,380502892.142874,0
59,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44459,DikeIncrease_1,dikesnet,356297201.82482773,380502892.142874,0
60,73,257.83713549375534,1.5,0.3531024223193526,309.93278563022614,1.0,0.3283598283305764,313.5422995686531,1.5,0.41892039217054844,250.08556127548218,10.0,0.8092590821906924,114.37878608703613,1.5,0.49396895430982113,4.5,2.5,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44460,DikeIncrease_1,dikesnet,141211006.79128903,380502892.142874,0
61,2,158.5245394706726,1.5,0.3531024223193526,309.93278563022614,1.0,0.3283598283305764,313.5422995686531,1.5,0.41892039217054844,250.08556127548218,10.0,0.8092590821906924,114.37878608703613,1.5,0.49396895430982113,4.5,2.5,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44461,DikeIncrease_1,dikesnet,150205768.08509523,380502892.142874,0
62,2,257.83713549375534,1.5,0.3531024223193526,309.93278563022614,1.0,0.3283598283305764,313.5422995686531,1.5,0.41892039217054844,250.08556127548218,10.0,0.8092590821906924,114.37878608703613,1.5,0.49396895430982113,4.5,2.5,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44462,DikeIncrease_1,dikesnet,150205768.08509523,380502892.142874,0
